 1.00000000000000E+0001	 1.92624780000000E-0027
 1.35935640000000E+0001	 2.18416200000000E-0026
 1.84784980000000E+0001	 2.34760270000000E-0025
 2.51188640000000E+0001	 2.47823630000000E-0024
 3.41454890000000E+0001	 2.36708130000000E-0023
 4.64158880000000E+0001	 1.64634360000000E-0022
 6.30957340000000E+0001	 1.03516090000000E-0021
 8.57695900000000E+0001	 4.75441460000000E-0021
 1.16591440000000E+0002	 1.92848060000000E-0020
 1.58489320000000E+0002	 6.47436420000000E-0020
 2.15443470000000E+0002	 1.91731280000000E-0019
 2.92864460000000E+0002	 4.86785670000000E-0019
 3.98107170000000E+0002	 1.08140210000000E-0018
 5.41169530000000E+0002	 2.15544310000000E-0018
 7.35642250000000E+0002	 3.83266080000000E-0018
 1.00000000000000E+0003	 6.16949160000000E-0018
 1.35935640000000E+0003	 9.16530700000000E-0018
 1.84784980000000E+0003	 1.30732640000000E-0017
 2.51188640000000E+0003	 1.83043590000000E-0017
 3.41454890000000E+0003	 2.54412410000000E-0017
 4.64158880000000E+0003	 3.52126210000000E-0017
 6.30957340000000E+0003	 4.88552020000000E-0017
 8.57695900000000E+0003	 6.79349820000000E-0017
 1.16591440000000E+0004	 9.45759310000000E-0017
 1.58489320000000E+0004	 1.31547080000000E-0016
 2.15443470000000E+0004	 1.82161760000000E-0016
 2.92864460000000E+0004	 2.49813740000000E-0016
 3.98107170000000E+0004	 3.36855580000000E-0016
 5.41169530000000E+0004	 4.42660740000000E-0016
 7.35642250000000E+0004	 5.61215250000000E-0016
 1.00000000000000E+0005	 6.79508010000000E-0016
