 1.00000000000000E+0001	 1.28414720000000E-0026
 1.35935640000000E+0001	 1.36274400000000E-0025
 1.84784980000000E+0001	 1.14901110000000E-0024
 2.51188640000000E+0001	 6.70412670000000E-0024
 3.41454890000000E+0001	 3.43733550000000E-0023
 4.64158880000000E+0001	 1.35235620000000E-0022
 6.30957340000000E+0001	 4.62673180000000E-0022
 8.57695900000000E+0001	 1.39199400000000E-0021
 1.16591440000000E+0002	 3.68850020000000E-0021
 1.58489320000000E+0002	 8.96492300000000E-0021
 2.15443470000000E+0002	 1.98805790000000E-0020
 2.92864460000000E+0002	 4.08761360000000E-0020
 3.98107170000000E+0002	 8.05354410000000E-0020
 5.41169530000000E+0002	 1.55267720000000E-0019
 7.35642250000000E+0002	 2.98609760000000E-0019
 1.00000000000000E+0003	 5.78479790000000E-0019
 1.35935640000000E+0003	 1.13431480000000E-0018
 1.84784980000000E+0003	 2.25557870000000E-0018
 2.51188640000000E+0003	 4.54101710000000E-0018
 3.41454890000000E+0003	 9.19677540000000E-0018
 4.64158880000000E+0003	 1.85334200000000E-0017
 6.30957340000000E+0003	 3.66416600000000E-0017
 8.57695900000000E+0003	 7.00107590000000E-0017
 1.16591440000000E+0004	 1.27438570000000E-0016
 1.58489320000000E+0004	 2.18162500000000E-0016
 2.15443470000000E+0004	 3.47288630000000E-0016
 2.92864460000000E+0004	 5.09366570000000E-0016
 3.98107170000000E+0004	 6.84214320000000E-0016
 5.41169530000000E+0004	 8.40193020000000E-0016
 7.35642250000000E+0004	 9.45405460000000E-0016
 1.00000000000000E+0005	 9.80250750000000E-0016
